ID,Source,Destination,Port,TTL
1,192.168.1.10,10.0.0.5,80,5
2,172.16.0.20,192.168.2.15,443,3
3,10.0.0.100,172.16.5.50,8080,4
4,192.168.5.25,10.10.10.10,22,2
5,172.20.0.5,192.168.100.1,3306,6
6,10.5.5.5,172.30.0.10,53,1
7,192.168.0.50,10.20.30.40,25000,7
8,172.18.0.100,192.168.50.50,60000,3
9,10.100.200.1,172.25.25.25,21,4
10,192.168.10.10,10.50.50.50,445,5
11,172.16.20.20,192.168.200.1,3389,2
12,10.0.5.10,172.40.0.20,50000,8
13,192.168.99.99,10.99.99.99,123,3
14,172.31.0.50,192.168.1.1,8000,1
15,10.10.0.100,172.50.50.50,65000,6
